City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Rikitea,PF,73.22,clear sky,-23.1203,-134.9692,People ThankYou
6,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
8,Vaini,TO,71.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
9,Karaton,ID,74.8,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
12,Atuona,PF,77.0,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
13,Faanui,PF,78.51,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
20,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
21,Lorengau,PG,79.79,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
26,Kapaa,US,75.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Bathsheba,BB,83.93,scattered clouds,13.2167,-59.5167,Atlantis Hotel
31,Bhawanipatna,IN,75.54,overcast clouds,19.9,83.1667,Bhagirathi inn
32,Costinesti,RO,81.66,broken clouds,43.95,28.6333,Villa Mar Bella
34,Gibato,PH,75.65,overcast clouds,11.2251,122.8143,Salvador L. Venteroso
36,Hilo,US,72.63,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
39,Carnarvon,AU,73.13,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
40,Lata,PT,83.48,clear sky,40.1629,-8.3327,Casa Maquia
41,Praya,CV,82.18,overcast clouds,14.9215,-23.5087,LT Aparthotel
42,Boa Viagem,BR,84.78,clear sky,-5.1275,-39.7322,Inn and Steakhouse Aconchego
46,Puerto Triunfo,CO,76.69,overcast clouds,5.8726,-74.6403,Hotel el Mirador
48,Veraval,IN,79.61,overcast clouds,20.9,70.3667,Lords Inn Somnath
50,Oussouye,SN,87.03,overcast clouds,12.485,-16.5469,Auberge du Routard
52,Butaritari,KI,81.73,broken clouds,3.0707,172.7902,Isles Sunset Lodge
56,Neufahrn,DE,82.74,overcast clouds,48.25,12.4333,Hotel Fohlenhof Restaurant Fohlenhof
58,Hithadhoo,MV,83.66,few clouds,-0.6,73.0833,Scoop Guest House
59,Bitlis,TR,82.6,clear sky,38.5,42.25,Karaman
62,Torbay,CA,73.89,light intensity shower rain,47.6666,-52.7314,Gallows Cove
65,Nikolskoye,RU,84.87,few clouds,59.7035,30.7861,Tourist House - Sablino
67,San Patricio,US,85.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
70,Aloleng,PH,80.71,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
73,Yining,CN,84.09,broken clouds,29.0361,114.5636,Xiushui Hotel
74,Canutama,BR,89.49,broken clouds,-6.5339,-64.3831,Hotel Jhennifer
76,Georgetown,MY,84.13,light rain,5.4112,100.3354,Cititel Penang
77,Cabo Rojo,PR,88.97,clear sky,18.0866,-67.1457,Hotel Perichi's
