City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Fare,PF,2022-05-17 20:49:42,-16.7,-151.0167,81.03,73,71,15.52
1,Saldanha,ZA,2022-05-17 20:45:04,-33.0117,17.9442,71.65,48,100,12.35
2,New Norfolk,AU,2022-05-17 20:49:43,-42.7826,147.0587,47.91,76,66,1.01
3,Vaini,TO,2022-05-17 20:49:43,-21.2,-175.2,75.36,78,40,6.91
4,Lavrentiya,RU,2022-05-17 20:49:45,65.5833,-171.0,30.02,77,65,4.9
5,Qaanaaq,GL,2022-05-17 20:49:45,77.484,-69.3632,25.65,76,40,5.26
6,East London,ZA,2022-05-17 20:49:46,-33.0153,27.9116,70.72,51,0,6.76
7,Cidreira,BR,2022-05-17 20:49:46,-30.1811,-50.2056,53.28,73,70,28.41
8,Puerto Del Rosario,ES,2022-05-17 20:49:47,28.5004,-13.8627,71.35,68,20,13.8
9,Katsuura,JP,2022-05-17 20:49:47,35.1333,140.3,62.38,86,91,1.83
10,Atuona,PF,2022-05-17 20:49:48,-9.8,-139.0333,78.98,70,69,15.7
11,Butaritari,KI,2022-05-17 20:49:49,3.0707,172.7902,82.2,70,4,11.9
12,Cape Town,ZA,2022-05-17 20:47:52,-33.9258,18.4232,70.21,40,0,5.75
13,Nioro,GM,2022-05-17 20:49:50,13.35,-15.75,84.76,46,68,13.06
14,Maceio,BR,2022-05-17 20:49:50,-9.6658,-35.7353,81.84,78,20,6.91
15,Kuching,MY,2022-05-17 20:49:51,1.55,110.3333,75.42,100,40,3.44
16,Torbay,CA,2022-05-17 20:49:51,47.6666,-52.7314,49.28,74,75,18.41
17,Mataura,NZ,2022-05-17 20:49:52,-46.1927,168.8643,43.48,84,39,3.98
18,Khatanga,RU,2022-05-17 20:49:53,71.9667,102.5,32.54,87,98,10.07
19,Rehoboth,NA,2022-05-17 20:49:54,-23.3167,17.0833,60.12,38,80,3.98
20,Lagoa,PT,2022-05-17 20:49:54,39.05,-27.9833,56.61,62,100,21.83
21,Hobart,AU,2022-05-17 20:49:55,-42.8794,147.3294,48.25,75,40,14.97
22,Green River,US,2022-05-17 20:49:55,41.5286,-109.4662,70.2,40,100,7.0
23,Bathsheba,BB,2022-05-17 20:49:56,13.2167,-59.5167,84.81,70,40,23.02
24,Mayna,RU,2022-05-17 20:49:57,54.1135,47.6231,40.23,91,23,3.4
25,Araouane,ML,2022-05-17 20:49:57,18.9048,-3.5265,90.79,7,0,8.9
26,Bluff,NZ,2022-05-17 20:49:58,-46.6,168.3333,43.81,81,68,11.27
