City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Fare,PF,81.03,-16.7,-151.0167,
3,Vaini,TO,75.36,-21.2,-175.2,
10,Atuona,PF,78.98,-9.8,-139.0333,
11,Butaritari,KI,82.2,3.0707,172.7902,
13,Nioro,GM,84.76,13.35,-15.75,
14,Maceio,BR,81.84,-9.6658,-35.7353,
15,Kuching,MY,75.42,1.55,110.3333,
23,Bathsheba,BB,84.81,13.2167,-59.5167,
33,Srivardhan,IN,81.39,18.0333,73.0167,
34,Rikitea,PF,76.3,-23.1203,-134.9692,
40,Aripuana,BR,78.82,-9.1667,-60.6333,
48,Hilo,US,82.27,19.7297,-155.09,
50,Puerto Ayora,EC,82.36,-0.7393,-90.3518,
51,Kapaa,US,80.58,22.0752,-159.319,
54,Bethel,US,75.2,41.3712,-73.414,
57,Belmonte,BR,79.09,-15.8631,-38.8828,
59,Russell,US,88.75,32.3502,-85.1999,
65,Noumea,NC,75.99,-22.2763,166.4572,
71,Vao,NC,75.56,-22.6667,167.4833,
73,Tautira,PF,80.17,-17.7333,-149.15,
76,Georgetown,MY,80.53,5.4112,100.3354,
77,Port-Gentil,GA,80.29,-0.7193,8.7815,
78,Pasir Gudang,MY,80.8,1.4584,103.8805,
79,Avarua,CK,82.45,-21.2078,-159.775,
80,La Asuncion,VE,85.73,11.0333,-63.8628,
81,Sola,VU,80.6,-13.8833,167.55,
84,Tamandare,BR,78.98,-8.7597,-35.1047,
87,West Lafayette,US,78.12,40.4259,-86.9081,
91,Lagos,NG,80.92,6.5833,3.75,
92,Karanpura,IN,88.25,29.1018,75.092,
94,Tehachapi,US,84.33,35.1322,-118.449,
96,Adrar,MR,88.81,20.5022,-10.0711,
97,San Policarpo,PH,80.42,12.1791,125.5072,
98,Sinnamary,GF,79.88,5.3833,-52.95,
101,Bubaque,GW,79.77,11.2833,-15.8333,
103,Urucara,BR,79.03,-2.5364,-57.76,
108,Bandarbeyla,SO,83.97,9.4942,50.8122,
115,Bo Phloi,TH,82.31,14.3236,99.5161,
118,Takoradi,GH,79.88,4.8845,-1.7554,
123,Lom Sak,TH,75.0,16.7798,101.2422,
125,Touros,BR,79.99,-5.1989,-35.4608,
129,Meulaboh,ID,77.36,4.1363,96.1285,
132,Buchanan,LR,80.15,5.8808,-10.0467,
133,Alofi,NU,76.89,-19.0595,-169.9187,
138,Hithadhoo,MV,84.22,-0.6,73.0833,
144,Savannah Bight,HN,81.99,16.45,-85.85,
146,Ugoofaaru,MV,82.99,5.6667,73.0,
160,Samarai,PG,80.37,-10.6167,150.6667,
165,Tagusao,PH,78.8,9.1924,117.8141,
169,Sur,OM,86.58,22.5667,59.5289,
171,Faanui,PF,81.12,-16.4833,-151.75,
177,Westport,US,77.36,41.1415,-73.3579,
178,Gamba,GA,77.47,-2.65,10.0,
185,Una,IN,81.16,20.8167,71.0333,
186,Pemba,MZ,75.25,-12.974,40.5178,
190,Cabo San Lucas,MX,87.62,22.8909,-109.9124,
195,Manzanillo,CU,88.45,20.3433,-77.1167,
